Config,Battery capacity_wh (battery.hpp line 9),"battery start capacity: charge_ (can't be set, is by default half of capacity)",battery_max_discharge_W (battery.hpp line 40),battery_max_charge_W (battery.hpp line 40),h_WK (effusion Cell) (too complicated leave it for Rishab),C_J (effusion cell) (too complicated leave it for Rishab),base_input (solar) (main.cpp line 633),efficiency (solar) (main.cpp line 632),C_J (susbtrateHeater.hpp line 413),eps (substrateHeater.hpp line 411),FAIL_LIMIT_TICKS_ Subsrate (subsrateHeater.hpp line 451),READY_BAND_K_ (subsrateHeater.hpp line 450),Substrate maxPowerDraw Main.cpp line 643,Effusion Underflux streak cap (line 870 main.cpp),Effusion undertemp streak cap (line 870 main.cpp),Effusion MIN_FLUX_FRACTION (line 870 main.cpp),Effusion TEMP_TOLERANCE_FRACTION (line 870 main.cpp),max draw (heater bank) main.cpp line 640,,,,,,,,,,,,,,,,,,,
Config 1,6000,3000,4000,3500,0.8,800,30000,0.25,1500,0.8,20,5,3000,20,20,0.9,0.85,5000,,,,,,,,,,,,,,,,,,,
Config248,10196,5098,4145,3758,0.88994,1442,19179,0.1978,2827,0.4978,6,4,2140,12,11,0.895,0.855,3946,,,,,,,,,,,,,,,,,,,
Config249,8249,4124,4014,4307,1.09671,1442,22973,0.1805,2734,0.5458,5,5,2239,12,10,0.822,0.892,3994,,,,,,,,,,,,,,,,,,,
Config250,10474,5237,4887,3969,0.89095,1290,18758,0.1766,3479,0.6131,6,4,2861,15,14,0.836,0.893,4623,,,,,,,,,,,,,,,,,,,
Config251,8157,4078,4276,3969,1.03691,1685,20022,0.1718,2920,0.5997,2,3,2463,11,12,0.828,0.831,4104,,,,,,,,,,,,,,,,,,,
Config252,10659,5329,4189,3842,1.08252,1336,22973,0.1673,2858,0.4849,6,5,2165,11,11,0.839,0.827,4225,,,,,,,,,,,,,,,,,,,
Config253,9640,4820,4756,4771,1.16563,1503,22551,0.1999,3510,0.5496,3,3,2836,12,15,0.856,0.822,4243,,,,,,,,,,,,,,,,,,,
Config254,8249,4124,4189,4729,0.8869,1654,23183,0.1995,3044,0.5393,5,3,2339,14,15,0.872,0.822,4887,,,,,,,,,,,,,,,,,,,
Config255,9269,4634,4014,4011,0.96798,1351,20233,0.1802,2951,0.4623,5,4,2189,11,10,0.895,0.863,4916,,,,,,,,,,,,,,,,,,,
Config256,8527,4263,4843,4222,0.92034,1503,18125,0.201,3324,0.6007,5,5,2463,11,15,0.859,0.823,4375,,,,,,,,,,,,,,,,,,,
Config257,10474,5237,4145,4138,0.92136,1578,19601,0.1824,3572,0.5981,7,5,2787,14,13,0.873,0.857,4380,,,,,,,,,,,,,,,,,,,
Config258,9176,4588,4451,3842,0.96292,1336,23816,0.1779,2889,0.5598,2,5,2438,10,13,0.874,0.831,3951,,,,,,,,,,,,,,,,,,,
Config259,9825,4912,4582,4518,1.14232,1533,21287,0.2103,3510,0.5032,7,4,2413,12,12,0.896,0.81,5046,,,,,,,,,,,,,,,,,,,
Config260,8806,4403,4189,4687,0.95582,1533,23394,0.1971,3293,0.5264,7,4,2563,15,13,0.872,0.839,4892,,,,,,,,,,,,,,,,,,,
Config261,8527,4263,3971,4391,1.01359,1700,23394,0.1964,2982,0.4752,5,3,2563,14,12,0.854,0.846,4250,,,,,,,,,,,,,,,,,,,
Config262,10196,5098,4189,3589,1.10989,1351,23183,0.1857,3013,0.4887,3,5,2165,14,10,0.879,0.824,3967,,,,,,,,,,,,,,,,,,,
Config263,8064,4032,4189,3589,0.91933,1594,22551,0.2131,3293,0.5194,5,3,2787,13,11,0.897,0.831,3761,,,,,,,,,,,,,,,,,,,
Config264,8064,4032,3971,4687,1.1109,1654,21919,0.2004,3324,0.5021,6,4,2787,15,14,0.837,0.889,4747,,,,,,,,,,,,,,,,,,,
Config265,10381,5190,3840,4011,1.02677,1381,18968,0.1686,3293,0.591,7,5,2687,15,15,0.874,0.83,4431,,,,,,,,,,,,,,,,,,,
Config266,7879,3939,4145,3716,1.06225,1624,24237,0.188,2889,0.4741,2,5,2165,13,10,0.819,0.853,3878,,,,,,,,,,,,,,,,,,,
Config267,8898,4449,4974,4138,0.99738,1533,22762,0.188,2796,0.4828,7,3,2438,13,12,0.864,0.891,5076,,,,,,,,,,,,,,,,,,,
Config268,8898,4449,4014,4813,1.03083,1381,23816,0.1869,3386,0.5614,4,5,2588,15,15,0.81,0.85,4312,,,,,,,,,,,,,,,,,,,
Config269,8620,4310,4276,4391,1.05515,1563,21287,0.1731,3479,0.4995,3,3,2737,11,12,0.859,0.818,3919,,,,,,,,,,,,,,,,,,,
Config270,10196,5098,3971,3927,1.15347,1472,22973,0.1688,3417,0.507,5,3,2413,14,13,0.9,0.875,5039,,,,,,,,,,,,,,,,,,,
Config271,10103,5051,3883,4602,0.90717,1533,20654,0.1768,3106,0.5776,3,3,2189,14,11,0.828,0.873,4492,,,,,,,,,,,,,,,,,,,
Config272,9176,4588,3971,3800,1.10887,1563,18125,0.1653,2796,0.5932,5,3,2314,13,11,0.885,0.868,3844,,,,,,,,,,,,,,,,,,,
Config273,7879,3939,3840,4433,0.95683,1670,22973,0.2036,3013,0.5932,3,3,2488,11,13,0.833,0.858,3827,,,,,,,,,,,,,,,,,,,
Config274,8157,4078,4189,4307,0.94568,1594,19601,0.1595,3137,0.5905,4,4,2189,12,15,0.851,0.824,4161,,,,,,,,,,,,,,,,,,,
Config275,10567,5283,4625,4687,1.04502,1442,19390,0.2073,3541,0.507,3,5,2612,10,13,0.866,0.806,4534,,,,,,,,,,,,,,,,,,,
Config276,9454,4727,4625,4476,0.95379,1305,20654,0.1924,3106,0.5776,7,3,2264,12,12,0.825,0.801,4194,,,,,,,,,,,,,,,,,,,
Config277,8713,4356,4014,4433,0.90919,1457,24026,0.2137,2889,0.5797,7,3,2488,13,15,0.9,0.893,4594,,,,,,,,,,,,,,,,,,,
Config278,7971,3985,4451,4391,0.86358,1472,21497,0.1669,3137,0.5,2,3,2588,14,15,0.876,0.851,4711,,,,,,,,,,,,,,,,,,,
Config279,9176,4588,4494,4349,0.91528,1563,23394,0.1595,3324,0.5754,4,5,2438,12,15,0.883,0.884,4047,,,,,,,,,,,,,,,,,,,
Config280,9825,4912,3753,3716,1.00954,1639,22340,0.2016,3231,0.5043,6,3,2836,10,12,0.896,0.837,4230,,,,,,,,,,,,,,,,,,,
Config281,7879,3939,3927,3673,0.99028,1457,23605,0.1753,2640,0.5808,7,3,2861,11,15,0.823,0.881,4231,,,,,,,,,,,,,,,,,,,
Config282,10011,5005,3709,4180,0.86764,1305,19179,0.1629,3479,0.4892,6,5,2189,15,14,0.802,0.859,4201,,,,,,,,,,,,,,,,,,,
Config283,8157,4078,4712,4011,1.05819,1366,20654,0.2066,3106,0.4903,6,3,2612,10,14,0.877,0.87,4416,,,,,,,,,,,,,,,,,,,
Config284,7971,3985,3971,4476,0.96697,1305,20233,0.1753,3479,0.4693,2,5,2861,15,15,0.883,0.807,4820,,,,,,,,,,,,,,,,,,,
Config285,9454,4727,4189,4687,1.06123,1336,19811,0.1766,3541,0.618,6,3,2115,12,11,0.837,0.806,3785,,,,,,,,,,,,,,,,,,,
Config286,8342,4171,4014,4222,0.9173,1624,19390,0.1841,3137,0.6024,2,5,2388,13,14,0.833,0.868,4862,,,,,,,,,,,,,,,,,,,
Config287,9362,4681,3753,4856,0.95582,1396,18968,0.177,2734,0.6191,2,4,2488,13,15,0.823,0.86,4488,,,,,,,,,,,,,,,,,,,
Config288,9362,4681,4363,4391,1.11293,1320,23605,0.2029,2796,0.5862,6,3,2115,10,10,0.829,0.891,4194,,,,,,,,,,,,,,,,,,,
Config289,8898,4449,4494,3589,0.95987,1442,20233,0.1911,2982,0.5372,4,3,2811,11,12,0.83,0.808,4748,,,,,,,,,,,,,,,,,,,
Config290,10659,5329,4843,4222,0.95075,1396,21919,0.1844,2734,0.6024,2,5,2388,14,12,0.86,0.801,4642,,,,,,,,,,,,,,,,,,,
Config291,10474,5237,4756,4518,1.15246,1745,21919,0.1811,3417,0.5048,6,4,2836,15,14,0.847,0.895,4817,,,,,,,,,,,,,,,,,,,
Config292,9825,4912,4058,3758,0.99332,1563,21287,0.1882,3293,0.5102,4,5,2811,10,14,0.863,0.829,3850,,,,,,,,,,,,,,,,,,,
Config293,8806,4403,3840,4602,0.99738,1366,20022,0.1615,3324,0.4957,4,4,2588,14,15,0.89,0.882,4150,,,,,,,,,,,,,,,,,,,
Config294,10567,5283,4756,3969,0.87676,1609,18125,0.1627,3200,0.5787,2,3,2339,10,10,0.8,0.858,3948,,,,,,,,,,,,,,,,,,,
