# job12.txt
# Wake-Shield-like GaAs recipe family with overlapping second run for queueing/cooling interaction
# Format:
# start_tick end_tick wafer_flux_cm2s heater_W mbe_on substrate_on phase_code substrate_target_K

0 180 0.0e0 1800 0 0 SOURCE_DEGAS 300.0
180 210 0.0e0 0 0 1 OXIDE_DESORB 893.0
210 225 0.0e0 0 0 1 SOAK 873.0
225 240 8.0e12 1700 1 1 NUCLEATE 803.0
240 330 2.4e13 2200 1 1 GROWTH 873.0
330 340 0.0e0 0 0 1 ANNEAL 873.0
340 370 0.0e0 0 0 1 COOLDOWN 673.0
370 390 0.0e0 0 0 0 IDLE 300.0

360 540 0.0e0 1700 0 0 SOURCE_DEGAS 300.0
540 565 0.0e0 0 0 1 OXIDE_DESORB 893.0
565 580 0.0e0 0 0 1 SOAK 853.0
580 592 6.5e12 1500 1 1 NUCLEATE 783.0
592 670 1.8e13 1900 1 1 GROWTH 853.0
670 680 0.0e0 0 0 1 ANNEAL 843.0
680 710 0.0e0 0 0 1 COOLDOWN 573.0
710 730 0.0e0 0 0 0 IDLE 300.0
