tick,time,key,value
0,0,initial_charge,500
0,0,status,1
0,0,charge,500
0,0,deficit,5
0,0,drawn,0
0,0,low_flag,0
0,0,required,5
1,0.1,charge,500
1,0.1,deficit,5
1,0.1,drawn,0
1,0.1,low_flag,0
1,0.1,required,5
2,0.2,charge,500
2,0.2,deficit,5
2,0.2,drawn,0
2,0.2,low_flag,0
2,0.2,required,5
3,0.3,charge,505
3,0.3,deficit,5
3,0.3,drawn,0
3,0.3,low_flag,0
3,0.3,required,5
4,0.4,charge,500
4,0.4,deficit,5
4,0.4,drawn,0
4,0.4,low_flag,0
4,0.4,required,5
5,0.5,charge,515
5,0.5,deficit,0
5,0.5,drawn,5
5,0.5,low_flag,0
5,0.5,required,5
6,0.6,charge,500
6,0.6,deficit,5
6,0.6,drawn,0
6,0.6,low_flag,0
6,0.6,required,5
7,0.7,charge,520
7,0.7,deficit,5
7,0.7,drawn,0
7,0.7,low_flag,0
7,0.7,required,5
8,0.8,charge,520
8,0.8,deficit,5
8,0.8,drawn,0
8,0.8,low_flag,0
8,0.8,required,5
9,0.9,charge,520
9,0.9,deficit,5
9,0.9,drawn,0
9,0.9,low_flag,0
9,0.9,required,5
10,1,charge,520
10,1,deficit,5
10,1,drawn,0
10,1,low_flag,0
10,1,required,5
11,1.1,charge,525
11,1.1,deficit,0
11,1.1,drawn,5
11,1.1,low_flag,0
11,1.1,required,5
12,1.2,charge,530
12,1.2,deficit,0
12,1.2,drawn,5
12,1.2,low_flag,0
12,1.2,required,5
13,1.3,charge,535
13,1.3,deficit,0
13,1.3,drawn,5
13,1.3,low_flag,0
13,1.3,required,5
14,1.4,charge,540
14,1.4,deficit,0
14,1.4,drawn,5
14,1.4,low_flag,0
14,1.4,required,5
15,1.5,charge,545
15,1.5,deficit,0
15,1.5,drawn,5
15,1.5,low_flag,0
15,1.5,required,5
16,1.6,charge,500
16,1.6,deficit,5
16,1.6,drawn,0
16,1.6,low_flag,0
16,1.6,required,5
17,1.7,charge,500
17,1.7,deficit,5
17,1.7,drawn,0
17,1.7,low_flag,0
17,1.7,required,5
18,1.8,charge,560
18,1.8,deficit,0
18,1.8,drawn,5
18,1.8,low_flag,0
18,1.8,required,5
19,1.9,charge,500
19,1.9,deficit,5
19,1.9,drawn,0
19,1.9,low_flag,0
19,1.9,required,5
20,2,charge,570
20,2,deficit,0
20,2,drawn,5
20,2,low_flag,0
20,2,required,5
21,2.1,charge,500
21,2.1,deficit,5
21,2.1,drawn,0
21,2.1,low_flag,0
21,2.1,required,5
22,2.2,charge,575
22,2.2,deficit,0
22,2.2,drawn,5
22,2.2,low_flag,0
22,2.2,required,5
23,2.3,charge,575
23,2.3,deficit,5
23,2.3,drawn,0
23,2.3,low_flag,0
23,2.3,required,5
24,2.4,charge,580
24,2.4,deficit,0
24,2.4,drawn,5
24,2.4,low_flag,0
24,2.4,required,5
25,2.5,charge,500
25,2.5,deficit,5
25,2.5,drawn,0
25,2.5,low_flag,0
25,2.5,required,5
26,2.6,charge,500
26,2.6,deficit,5
26,2.6,drawn,0
26,2.6,low_flag,0
26,2.6,required,5
27,2.7,charge,585
27,2.7,deficit,5
27,2.7,drawn,0
27,2.7,low_flag,0
27,2.7,required,5
28,2.8,charge,500
28,2.8,deficit,5
28,2.8,drawn,0
28,2.8,low_flag,0
28,2.8,required,5
29,2.9,charge,500
29,2.9,deficit,5
29,2.9,drawn,0
29,2.9,low_flag,0
29,2.9,required,5
30,3,charge,585
30,3,deficit,5
30,3,drawn,0
30,3,low_flag,0
30,3,required,5
31,3.1,charge,585
31,3.1,deficit,5
31,3.1,drawn,0
31,3.1,low_flag,0
31,3.1,required,5
32,3.2,charge,585
32,3.2,deficit,5
32,3.2,drawn,0
32,3.2,low_flag,0
32,3.2,required,5
33,3.3,charge,585
33,3.3,deficit,5
33,3.3,drawn,0
33,3.3,low_flag,0
33,3.3,required,5
34,3.4,charge,590
34,3.4,deficit,0
34,3.4,drawn,5
34,3.4,low_flag,0
34,3.4,required,5
35,3.5,charge,590
35,3.5,deficit,5
35,3.5,drawn,0
35,3.5,low_flag,0
35,3.5,required,5
36,3.6,charge,590
36,3.6,deficit,5
36,3.6,drawn,0
36,3.6,low_flag,0
36,3.6,required,5
37,3.7,charge,590
37,3.7,deficit,5
37,3.7,drawn,0
37,3.7,low_flag,0
37,3.7,required,5
38,3.8,charge,500
38,3.8,deficit,5
38,3.8,drawn,0
38,3.8,low_flag,0
38,3.8,required,5
39,3.9,charge,600
39,3.9,deficit,0
39,3.9,drawn,5
39,3.9,low_flag,0
39,3.9,required,5
40,4,charge,601.36
40,4,deficit,3.6395
40,4,drawn,1.3605
40,4,low_flag,0
40,41,4.1,charge41,4.1,charge,606.36
41,4.1,deficit,0
41,4.1,drawn,5
41,4.1,low_flag,0
4142,4.2,charge,5042,4.2,charge,611.36
42,4.2,deficit,0
42,4.2,drawn,5
42,4.2,low_flag,043,4.3,charge,500
443,4.3,charge,611.36
43,4.3,deficit,5
43,4.3,drawn,0
43,4.3,low_fla44,4.4,charge,500
44,444,4.4,charge,616.36
44,4.4,deficit,0
44,4.4,drawn,5
44,4.4,low_45,4.5,charge,500
45,4.5,45,4.5,charge,616.36
45,4.5,deficit,5
45,4.5,drawn,0
45,4.5,l46,4.6,charge,500
46,4.6,deficit,5
46,4.6,drawn,0
46,4.6,low_flag,0
46,4.6,required,5
47,4.7,charge,500
47,4.7,defici47,4.7,charge,626.36
47,4.7,deficit,0
47,4.7,drawn,5
4748,4.8,charge,500
48,4.8,deficit,548,4.8,charge,626.36
48,4.8,deficit,5
48,4.8,drawn,049,4.9,charge,500
49,4.9,deficit,5
4949,4.9,charge,631.36
49,4.9,deficit,0
49,4.9,draw50,5,charge,500
50,5,deficit,5
50,5,drawn,0
50,5,low_flag,0
50,5,required,5
51,5.1,charge,500
51,5.1,deficit,5
51,5.1,d51,5.1,charge,641.36
51,5.1,deficit,0
51,5.52,5.2,charge,500
52,5.2,deficit,5
52,5.2,draw52,5.2,charge,646.36
52,5.2,deficit,0
5253,5.3,charge,500
53,5.3,deficit,5
53,5.3,drawn,053,5.3,charge,651.36
53,5.3,deficit,054,5.4,charge,500
54,5.4,deficit,5
54,5.4,drawn,0
54,5.4,low_flag,0
54,5.4,required,5
55,5.5,charge,500
55,5.5,deficit,5
55,5.5,drawn,0
55,5.5,low_flag,0
55,5.5,required,5
56,5.6,charge,500
56,5.6,deficit,5
56,5.6,drawn,0
56,5.6,low_flag,0
56,5.6,required,5
57,5.7,charge,500
57,5.7,deficit,5
57,5.7,drawn,0
57,5.7,low_flag,0
57,5.7,required,5
58,5.8,charge,500
58,5.8,deficit,5
58,5.8,drawn,0
58,5.8,low_fla58,5.8,charge,656.36
559,5.9,charge,500
59,5.9,deficit,5
59,5.9,drawn,0
59,5.9,low_flag,059,5.9,charge,656.360,6,charge,500
60,6,deficit,5
60,6,drawn,0
60,6,low_flag,0
60,6,requi60,6,c61,6.1,charge,500
61,6.1,deficit,5
61,6.1,drawn,0
61,6.1,low_flag,0
61,6.1,required,5
62,6.2,charge,500
62,6.2,deficit,5
62,6.2,drawn,0
62,6.2,low_flag,0
62,6.2,r62,6.2,cha63,6.3,charge,500
63,6.3,deficit,5
63,6.3,drawn,0
63,6.3,low_flag,0
63,6.3,required,5
64,6.4,charge,500
64,6.4,deficit,5
64,6.4,drawn,0
64,6.4,low_flag,0
64,6.4,required,5
65,6.5,charge,505
65,6.5,deficit,0
65,6.5,drawn,5
65,6.5,low_flag,0
65,6.5,required,5
66,6.6,charge,510
66,6.6,deficit,0
66,6.6,drawn,5
66,6.6,low_flag,0
66,6.6,required,5
67,6.7,charge,515
67,6.7,deficit,0
67,6.7,drawn,5
67,6.7,low_flag,0
67,6.7,required,5
68,6.8,charge,515
68,6.8,deficit,5
68,6.8,drawn,0
68,6.8,low_flag,0
68,6.8,required,5
69,6.9,charge,515
69,6.9,deficit,5
69,6.9,drawn,0
69,6.9,low_flag,0
69,6.9,required,5
70,7,charge,515
70,7,deficit,5
70,7,drawn,0
70,7,low_flag,0
70,7,required,5
71,7.1,charge,515
71,7.1,deficit,5
71,7.1,drawn,0
71,7.1,low_flag,0
71,7.1,required,5
72,7.2,charge,515
72,7.2,deficit,5
72,7.2,drawn,0
72,7.2,low_flag,0
72,7.2,required,5
73,7.3,charge,515
73,7.3,deficit,5
73,7.3,drawn,0
73,7.3,low_flag,0
73,7.3,required,5
74,7.4,charge,520
74,7.4,deficit,0
74,7.4,drawn,5
74,7.4,low_flag,0
74,7.4,required,5
75,7.5,charge,525
75,7.5,deficit,0
75,7.5,drawn,5
75,7.5,low_flag,0
75,7.5,required,5
76,7.6,charge,530
76,7.6,deficit,0
76,7.6,drawn,5
76,7.6,low_flag,0
76,7.6,required,5
77,7.7,charge,535
77,7.7,deficit,0
77,7.7,drawn,5
77,7.7,low_flag,0
77,7.7,required,5
78,7.8,charge,540
78,7.8,deficit,0
78,7.8,drawn,5
78,7.8,low_flag,0
78,7.8,required,5
79,7.9,charge,545
79,7.9,deficit,0
79,7.9,drawn,5
79,7.9,low_flag,0
79,7.9,required,5
80,8,charge,550
80,8,deficit,0
80,8,drawn,5
80,8,low_flag,0
80,8,required,5
81,8.1,charge,550
