tick,time,key,value
0,0,available_power,0
0,0,status,1
0,0,draw_request,150
0,0,granted,0
0,0,remaining_power,0,0,0,available_power,0
0,0,draw_request,5
0,0,granted,0
0,0,available_power,0
1,0.1,draw_request,150
1,0.1,granted,0
1,0.1,remaining_power,1,0.1,available_power,19.91,0.1,draw_request,5
1,0.1,granted,0
1,0.1,remaining_power,0
2,0.2,draw_request,150
2,0.2,g2,0.2,draw_request,150
2,0.2,gran2,0.2,available_power,39.7339
2,0.2,draw_request,5
2,0.2,granted,0
2,0.2,remaining_power,0
3,0.3,3,0.3,available_power,59.104
3,0.3,draw_request,150
3,0.3,granted,59.104
3,0.3,re3,0.3,draw_reque3,0.3,draw_request,5
3,0.3,granted,0
3,0.3,re4,0.4,available_4,0.4,draw_request,5
4,0.4,granted,5
4,0.4,remaining_power,72.8837
4,0.4,0.4,draw_request,5
4,0.4,granted,0
4,0.4,remaining_power,0
5,0.5,draw_request,5
5,0.5,granted5,0.5,draw_request,5
5,0.5,5,0.5,available_power,0
5,0.5,draw_request,150
5,0.5,granted,0
5,0.5,remaining_power,0
6,0.6,draw_request,150
6,0.6,granted,0
6,0.6,remaini6,0.6,avail6,0.6,available_pow6,0.66,0.6,draw_request,5
6,0.6,granted,0
6,0.6,remaining_power,0
7,0.7,draw_request,5
7,0.7,granted,0
7,0.7,remaining_power,0
7,0.7,available_power,0
7,0.7,draw_request,150
7,0.7,granted,0
7,0.7,remaining_power,0
8,0.8,draw_request,5
8,0.8,granted,0
8,0.8,remaining_power,0
8,0.8,available_power,0
8,0.8,draw_request,150
8,0.8,granted,0
8,0.8,remaining_power,0
9,0.9,draw_request,5
9,0.9,granted,0
9,0.9,remaining_power,0
9,0.9,available_power,0
9,0.9,draw_request,150
9,0.9,granted,0
9,0.9,remaining_power,0
10,1,draw_request,5
10,1,granted,0
10,1,remaining_power,0
10,1,available_power,0
10,1,draw_request,150
10,1,granted,0
10,1,remaining_power,0
11,1.1,draw_request,5
11,1.1,granted,0
11,1.1,remaining_power,0
11,1.1,available_power,0
11,1.1,draw_request,150
11,1.1,granted,0
11,1.1,remaining_power,0
12,1.2,available_power,0
12,1.2,draw_request,150
12,1.2,granted,0
12,1.2,remaining_power,0
12,1.2,draw_request,5
