tick,time,key,value
0,0,battery,500
0,0,bus,0
0,0,solar,0
1,0.1,battery,500
1,0.1,bus,0
1,0.1,solar,19.9667
2,0.2,battery,505
2,0.2,bus,0
2,0.2,solar,39.7339
3,0.3,battery,505
3,0.3,bus,0
3,0.3,solar,59.104
4,0.4,battery,510
4,0.4,bus,0
4,0.4,solar,77.8837
5,0.5,battery,515
5,0.5,bus,0
5,0.5,solar,95.8851
6,0.6,battery,520
6,0.6,bus,0
6,0.6,solar,112.928
7,0.7,battery,520
7,0.7,bus,0
7,0.7,solar,128.844
8,0.8,battery,520
8,0.8,bus,0
8,0.8,solar,143.471
9,0.9,battery,520
9,0.9,bus,0
9,0.9,solar,156.665
10,1,battery,520
10,1,bus,0
10,1,solar,168.294
11,1.1,battery,525
11,1.1,bus,0
11,1.1,solar,178.241
12,1.2,battery,530
12,1.2,bus,0
12,1.2,solar,186.408
13,1.3,battery,535
13,1.3,bus,0
13,1.3,solar,192.712
14,1.4,battery,540
14,1.4,bus,0
14,1.4,solar,197.09
15,1.5,battery,545
15,1.5,bus,0
15,1.5,solar,199.499
16,1.6,battery,550
16,1.6,bus,0
16,1.6,solar,199.915
17,1.7,battery,555
17,1.7,bus,0
17,1.7,solar,198.333
18,1.8,battery,560
18,1.8,bus,0
18,1.8,solar,194.77
19,1.9,battery,565
19,1.9,bus,0
19,1.9,solar,189.26
20,2,battery,570
20,2,bus,0
20,2,solar,181.859
21,2.1,battery,570
21,2.1,bus,0
21,2.1,solar,172.642
22,2.2,battery,575
22,2.2,bus,0
22,2.2,solar,161.699
23,2.3,battery,575
23,2.3,bus,0
23,2.3,solar,149.141
24,2.4,battery,580
24,2.4,bus,0
24,2.4,solar,135.093
25,2.5,battery,585
25,2.5,bus,0
25,2.5,solar,119.694
26,2.6,battery,585
26,2.6,bus,0
26,2.6,solar,103.1
27,2.7,battery,585
27,2.7,bus,0
27,2.7,solar,85.476
28,2.8,battery,585
28,2.8,bus,0
28,2.8,solar,66.9976
29,2.9,battery,585
29,2.9,bus,0
29,2.9,solar,47.8499
30,3,battery,585
30,3,bus,0
30,3,solar,28.224
31,3.1,battery,585
31,3.1,bus,0
31,3.1,solar,8.31613
32,3.2,battery,585
32,3.2,bus,0
32,3.2,solar,11.6748
33,3.3,battery,585
33,3.3,bus,0
33,3.3,solar,31.5491
34,3.4,battery,590
34,3.4,bus,0
34,3.4,solar,51.1082
35,3.5,battery,590
35,3.5,bus,0
35,3.5,solar,70.1566
36,3.6,battery,590
36,3.6,bus,0
36,3.6,solar,88.5041
37,3.7,battery,590
37,3.7,bus,0
37,3.7,solar,105.967
38,3.8,battery,595
38,3.8,bus,0
38,3.8,solar,122.372
39,3.9,battery,600
39,3.9,bus,0
39,3.9,solar,137.553
40,4,battery,601.36
40,4,bus,0
40,4,solar,151.41,41,4.1,battery,606.36
41,4.1,bus,0
41,4.1,solar,1642,4.242,4.2,battery,611.36
42,4.2,bus,0
42,4.2,solar43,4.3,ba43,4.3,battery,611.36
43,4.3,bus,0
43,4.3,so44,4.4,batte44,4.4,battery,616.36
44,4.4,bus,0
44,4.45,4.5,battery,45,4.5,battery,616.36
45,4.5,bus,0
45,46,4.6,battery,50046,4.6,battery,621.36
46,4.6,bus,0
47,4.7,battery,500
4747,4.7,battery,626.36
47,4.7,bus48,4.8,battery,500
48,4.48,4.8,battery,626.36
48,4.8,49,4.9,battery,500
49,4.9,b49,4.9,battery,631.36
49,450,5,battery,500
50,5,bus,0
5050,5,battery,636.51,5.1,battery,500
51,5.1,bus,0
551,5.1,battery,641.352,5.2,battery,500
52,5.2,bus,0
52,552,5.2,battery,6453,5.3,battery,500
53,5.3,bus,0
53,5.3,53,5.3,battery54,5.4,battery,500
54,5.4,bus,0
54,5.4,sol54,5.4,batt55,5.5,battery,500
55,5.5,bus,0
55,5.5,solar,55,5.5,b56,5.6,battery,500
56,5.6,bus,0
56,5.6,solar,12656,5.57,5.7,battery,500
57,5.7,bus,0
57,5.7,solar,110.135758,5.8,battery,500
58,5.8,bus,0
58,5.8,solar,92.9204
59,5.9,battery,500
59,5.9,bus,0
59,5.9,solar,74.7753
60,6,battery,500
60,6,bus,0
60,6,solar,55.8831
61,6.1,battery,500
61,6.1,bus,0
61,6.1,solar,36.4325
62,6.2,battery,500
62,6.2,bus,0
62,6.2,solar,16.6179
63,6.3,battery,500
63,6.3,bus,0
63,6.3,solar,3.36278
64,6.4,battery,500
64,6.4,bus,0
64,6.4,solar,23.3098
65,6.5,battery,505
65,6.5,bus,0
65,6.5,solar,43.024
66,6.6,battery,510
66,6.6,bus,0
66,6.6,solar,62.3083
67,6.7,battery,515
67,6.7,bus,0
67,6.7,solar,80.97
68,6.8,battery,515
68,6.8,bus,0
68,6.8,solar,98.8227
69,6.9,battery,515
69,6.9,bus,0
69,6.9,solar,115.688
70,7,battery,515
70,7,bus,0
70,7,solar,131.397
71,7.1,battery,515
71,7.1,bus,0
71,7.1,solar,145.794
72,7.2,battery,515
72,7.2,bus,0
72,7.2,solar,158.734
73,7.3,battery,515
73,7.3,bus,0
73,7.3,solar,170.087
74,7.4,battery,520
74,7.4,bus,0
74,7.4,solar,179.742
75,7.5,battery,525
75,7.5,bus,0
75,7.5,solar,187.6
76,7.6,battery,530
76,7.6,bus,0
76,7.6,solar,193.584
77,7.7,battery,535
77,7.7,bus,0
77,7.7,solar,197.634
78,7.8,battery,540
78,7.8,bus,0
78,7.8,solar,199.709
79,7.9,battery,545
79,7.9,bus,0
79,7.9,solar,199.788
80,8,battery,550
80,8,bus,0
80,8,solar,197.872
81,8.1,battery,550
81,8.1,bus,0
81,8.1,solar,193.978
82,8.2,battery,550
82,8.2,bus,0
82,8.2,solar,188.146
83,8.3,battery,555
83,8.3,bus,0
83,8.3,solar,180.434
84,8.4,battery,560
84,8.4,bus,0
84,8.4,solar,170.92
85,8.5,battery,565
85,8.5,bus,0
85,8.5,solar,159.697
86,8.6,battery,565
86,8.6,bus,0
86,8.6,solar,146.879
87,8.7,battery,565
87,8.7,bus,0
87,8.7,solar,132.594
88,8.8,battery,570
88,8.8,bus,0
88,8.8,solar,116.983
89,8.9,battery,570
89,8.9,bus,0
89,8.9,solar,100.204
90,9,battery,575
90,9,bus,0
90,9,solar,82.4237
91,9.1,battery,575
91,9.1,bus,0
91,9.1,solar,63.8197
92,9.2,battery,580
92,9.2,bus,0
92,9.2,solar,44.578
93,9.3,battery,585
93,9.3,bus,0
93,9.3,solar,24.8909
94,9.4,battery,589.955
94,9.4,bus,0
94,9.4,solar,4.95509
95,9.5,battery,589.955
95,9.5,bus,0
95,9.5,solar,15.0302
96,9.6,battery,594.955
96,9.6,bus,0
96,9.6,solar,34.8654
97,9.7,battery,599.955
97,9.7,bus,0
97,9.7,solar,54.3521
98,9.8,battery,599.955
98,9.8,bus,0
98,9.8,solar,73.2958
99,9.9,battery,599.955
99,9.9,bus,0
99,9.9,solar,91.5072
100,10,battery,599.955
100,10,bus,0
100,10,solar,108.804
101,10.1,battery,599.955
101,10.1,bus,0
101,10.1,solar,125.014
102,10.2,battery,599.955
102,10.2,bus,0
102,10.2,solar,139.975
103,10.3,battery,599.955
103,10.3,bus,0
103,10.3,solar,153.537
104,10.4,battery,599.955
104,10.4,bus,0
104,10.4,solar,165.565
105,10.5,battery,599.955
105,10.5,bus,0
105,10.5,solar,175.939
106,10.6,battery,599.955
106,10.6,bus,0
106,10.6,solar,184.555
