tick,time,key,value
0,0,efficiency,0.2
0,0,status,1
0,0,output,0
0,0,solar_input,0
1,0.1,output,19.9667
1,0.1,solar_input,99.8334
2,0.2,output,39.7339
2,0.2,solar_input,198.669
3,0.3,output,59.104
3,0.3,solar_input,295.52
4,0.4,output,77.8837
4,0.4,solar_input,389.418
5,0.5,output,95.8851
5,0.5,solar_input,479.426
6,0.6,output,112.928
6,0.6,solar_input,564.642
7,0.7,output,128.844
7,0.7,solar_input,644.218
8,0.8,output,143.471
8,0.8,solar_input,717.356
9,0.9,output,156.665
9,0.9,solar_input,783.327
10,1,output,168.294
10,1,solar_input,841.471
11,1.1,output,178.241
11,1.1,solar_input,891.207
12,1.2,output,186.408
12,1.2,solar_input,932.039
13,1.3,output,192.712
13,1.3,solar_input,963.558
14,1.4,output,197.09
14,1.4,solar_input,985.45
15,1.5,output,199.499
15,1.5,solar_input,997.495
16,1.6,output,199.915
16,1.6,solar_input,999.574
17,1.7,output,198.333
17,1.7,solar_input,991.665
18,1.8,output,194.77
18,1.8,solar_input,973.848
19,1.9,output,189.26
19,1.9,solar_input,946.3
20,2,output,181.859
20,2,solar_input,909.297
21,2.1,output,172.642
21,2.1,solar_input,863.209
22,2.2,output,161.699
22,2.2,solar_input,808.496
23,2.3,output,149.141
23,2.3,solar_input,745.705
24,2.4,output,135.093
24,2.4,solar_input,675.463
25,2.5,output,119.694
25,2.5,solar_input,598.472
26,2.6,output,103.1
26,2.6,solar_input,515.501
27,2.7,output,85.476
27,2.7,solar_input,427.38
28,2.8,output,66.9976
28,2.8,solar_input,334.988
29,2.9,output,47.8499
29,2.9,solar_input,239.249
30,3,output,28.224
30,3,solar_input,141.12
31,3.1,output,8.31613
31,3.1,solar_input,41.5807
32,3.2,output,11.6748
32,3.2,solar_input,58.3741
33,3.3,output,31.5491
33,3.3,solar_input,157.746
34,3.4,output,51.1082
34,3.4,solar_input,255.541
35,3.5,output,70.1566
35,3.5,solar_input,350.783
36,3.6,output,88.5041
36,3.6,solar_input,442.52
37,3.7,output,105.967
37,3.7,solar_input,529.836
38,3.8,output,122.372
38,3.8,solar_input,611.858
39,3.9,output,137.553
39,3.9,solar_input,687.766
40,4,output,151.36
40,4,solar_input,756.802
41,4.1,output,163.655
41,4.1,solar_input,818.277
42,4.2,output,174.315
42,4.2,solar_input,871.576
43,4.3,output,183.233
43,4.3,solar_input,916.166
44,4.4,output,190.32
44,4.4,solar_input,951.602
45,4.5,output,195.506
45,4.5,solar_input,977.53
46,4.6,output,198.738
46,4.6,solar_input,993.691
47,4.7,output,199.985
47,4.7,solar_input,999.923
48,4.8,output,199.233
48,4.8,solar_input,996.165
49,4.9,output,196.491
49,4.9,solar_input,982.453
50,5,output,191.785
50,5,solar_input,958.924
51,5.1,output,185.163
51,5.1,solar_input,925.815
52,5.2,output,176.691
52,5.2,solar_input,883.455
53,5.3,output,166.453
