tick,time_s_phys,p_front_Torr,p_wake_Torr,p_free_Torr,p_gap_Torr,cup_scale_frac,cup_emit_real_per_s
1,60,0,0,0,0,1,0
2,120,3.59366961335774e-08,2.85767762868948e-10,1.53835417366645e-10,3.30394897750287e-09,1.03339631687256,7.82e+18
3,180,3.67710577158976e-08,2.89466372639988e-10,1.82723306421249e-10,3.28926348116124e-09,1.06664347768689,7.7872e+18
4,240,3.68086646808025e-08,2.81918740461959e-10,1.66205118568676e-10,3.32380786376503e-09,1.09959299255192,7.7868e+18
5,300,3.70756749830108e-08,2.81361413387604e-10,1.66564544270235e-10,3.30104074096594e-09,1.13209770093564,7.7904e+18
6,360,3.6919780363978e-08,2.8846764190029e-10,1.67201538233981e-10,3.28872294513009e-09,1.16401242891978,7.786e+18
7,420,3.72134216824205e-08,2.93499817151304e-10,1.76998157643022e-10,3.30359498302763e-09,1.19519463758175,7.8688e+18
8,480,3.68762488430315e-08,2.83920546589579e-10,1.68157529393826e-10,3.30116112345445e-09,1.22550505960805,7.89e+18
9,540,3.70752470760426e-08,2.86509030865624e-10,1.71927717564673e-10,3.31123720521715e-09,1.25480832129596,7.7412e+18
10,600,3.70809977458924e-08,2.92594581346419e-10,1.77737377782412e-10,3.33480888671876e-09,1.2829735471653,7.8708e+18
11,660,3.73780586049608e-08,2.83767503906616e-10,1.70205252117317e-10,3.27755818138836e-09,1.30987494448012,7.7844e+18
12,720,3.71995317300355e-08,3.03214554628372e-10,1.81345144554042e-10,3.28466042424444e-09,1.33539236506961,7.7548e+18
13,780,3.73107421111161e-08,3.04146876788858e-10,1.60638364194655e-10,3.30656784536335e-09,1.35941184193896,7.842e+18
14,840,3.7059594422045e-08,2.94221421752484e-10,1.62329251784728e-10,3.31276756384484e-09,1.38182609827367,7.8672e+18
15,900,3.72515055482801e-08,2.91823200238125e-10,1.6877254420724e-10,3.29061933148312e-09,1.40253502656378,7.79e+18
16,960,3.71786007673527e-08,2.89631071082585e-10,1.64635799924052e-10,3.31819298217993e-09,1.4214461357084,7.8008e+18
17,1020,3.72708436497038e-08,2.81379995561522e-10,1.5964985998687e-10,3.28637912347601e-09,1.43847496410334,7.7936e+18
18,1080,3.68843301244197e-08,2.87687251991592e-10,1.75527204137322e-10,3.34604899606648e-09,1.45354545686717,7.7992e+18
19,1140,3.70946846727332e-08,2.93627271136969e-10,1.66875807280487e-10,3.33442948297241e-09,1.4665903055208,7.7368e+18
20,1200,3.73810394362682e-08,2.84136647267503e-10,1.72904267660692e-10,3.31446810261806e-09,1.47755124860346,7.8044e+18
21,1260,3.71479210803121e-08,2.99620940420367e-10,1.62903397538656e-10,3.30306667832218e-09,1.48637933188252,7.8092e+18
