tick,time_s,status,charge_Wh,capacity_Wh
0,0,1,500,1000
1,60,1,500,1000
2,120,1,503.333,1000
3,180,1,506.667,1000
4,240,1,510,1000
5,300,1,513.333,1000
6,360,1,516.667,1000
7,420,1,520,1000
8,480,1,523.333,1000
9,540,1,526.667,1000
10,600,1,530,1000
11,660,1,529.203,1000
12,720,1,527.794,1000
13,780,1,525.728,1000
14,840,1,522.959,1000
15,900,1,519.447,1000
16,960,1,515.154,1000
17,1020,1,510.047,1000
18,1080,1,504.095,1000
19,1140,1,497.271,1000
20,1200,1,489.553,1000
21,1260,1,480.921,1000
22,1320,1,471.362,1000
23,1380,1,460.864,1000
24,1440,1,449.421,1000
25,1500,1,423.338,1000
26,1560,1,397.255,1000
27,1620,1,371.171,1000
28,1680,1,345.088,1000
29,1740,1,319.005,1000
30,1800,1,292.921,1000
31,1860,1,266.838,1000
32,1920,1,240.755,1000
33,1980,1,214.671,1000
34,2040,1,188.588,1000
35,2100,1,162.505,1000
36,2160,1,136.421,1000
37,2220,1,110.338,1000
38,2280,1,84.2548,1000
39,2340,1,58.1715,1000
40,2400,1,32.0882,1000
41,2460,1,6.00482,1000
42,2520,1,0,1000
43,2580,1,0,1000
44,2640,1,0,1000
45,2700,1,0,1000
46,2760,1,0,1000
47,2820,1,0,1000
48,2880,1,0,1000
49,2940,1,0,1000
50,3000,1,0,1000
51,3060,1,0,1000
52,3120,1,0,1000
53,3180,1,0,1000
54,3240,1,0,1000
55,3300,1,0,1000
56,3360,1,0,1000
57,3420,1,0,1000
58,3480,1,0,1000
59,3540,1,0,1000
60,3600,1,0,1000
61,3660,1,0,1000
62,3720,1,0,1000
63,3780,1,0,1000
64,3840,1,0,1000
65,3900,1,0,1000
66,3960,1,0,1000
67,4020,1,0,1000
68,4080,1,0,1000
69,4140,1,0,1000
70,4200,1,0,1000
71,4260,1,0,1000
72,4320,1,3.33333,1000
73,4380,1,6.66667,1000
74,4440,1,10,1000
75,4500,1,13.3333,1000
76,4560,1,16.6667,1000
77,4620,1,20,1000
78,4680,1,23.3333,1000
79,4740,1,26.6667,1000
80,4800,1,30,1000
81,4860,1,33.3333,1000
82,4920,1,36.6667,1000
83,4980,1,40,1000
84,5040,1,43.3333,1000
85,5100,1,46.6667,1000
86,5160,1,50,1000
87,5220,1,53.3333,1000
88,5280,1,56.6667,1000
89,5340,1,60,1000
90,5400,1,63.3333,1000
91,5460,1,66.6667,1000
92,5520,1,70,1000
93,5580,1,73.3333,1000
94,5640,1,76.6667,1000
95,5700,1,80,1000
96,5760,1,83.3333,1000
97,5820,1,86.6667,1000
98,5880,1,90,1000
99,5940,1,93.3333,1000
100,6000,1,96.6667,1000
101,6060,1,100,1000
102,6120,1,103.333,1000
103,6180,1,106.667,1000
104,6240,1,110,1000
105,6300,1,113.333,1000
106,6360,1,116.667,1000
107,6420,1,120,1000
108,6480,1,123.333,1000
109,6540,1,126.667,1000
110,6600,1,130,1000
111,6660,1,133.333,1000
112,6720,1,136.667,1000
113,6780,1,140,1000
114,6840,1,143.333,1000
115,6900,1,146.667,1000
116,6960,1,150,1000
117,7020,1,153.333,1000
118,7080,1,156.667,1000
119,7140,1,156.667,1000
120,7200,1,156.667,1000
121,7260,1,156.667,1000
122,7320,1,156.667,1000
123,7380,1,156.667,1000
124,7440,1,156.667,1000
125,7500,1,156.667,1000
126,7560,1,156.667,1000
127,7620,1,156.667,1000
128,7680,1,156.667,1000
129,7740,1,156.667,1000
130,7800,1,156.667,1000
131,7860,1,156.667,1000
132,7920,1,156.667,1000
133,7980,1,156.667,1000
134,8040,1,156.667,1000
135,8100,1,156.667,1000
136,8160,1,156.667,1000
137,8220,1,156.667,1000
138,8280,1,156.667,1000
139,8340,1,156.667,1000
140,8400,1,156.667,1000
141,8460,1,156.667,1000
142,8520,1,156.667,1000
143,8580,1,156.667,1000
144,8640,1,156.667,1000
145,8700,1,156.667,1000
146,8760,1,156.667,1000
147,8820,1,156.667,1000
148,8880,1,156.667,1000
149,8940,1,156.667,1000
150,9000,1,156.667,1000
151,9060,1,156.667,1000
152,9120,1,156.667,1000
153,9180,1,156.667,1000
154,9240,1,156.667,1000
155,9300,1,156.667,1000
156,9360,1,156.667,1000
157,9420,1,156.667,1000
158,9480,1,156.667,1000
159,9540,1,156.667,1000
160,9600,1,156.667,1000
161,9660,1,156.667,1000
162,9720,1,156.667,1000
163,9780,1,156.667,1000
164,9840,1,156.667,1000
165,9900,1,156.667,1000
166,9960,1,160,1000
167,10020,1,163.333,1000
168,10080,1,166.667,1000
169,10140,1,170,1000
170,10200,1,173.333,1000
171,10260,1,176.667,1000
172,10320,1,180,1000
173,10380,1,183.333,1000
174,10440,1,186.667,1000
175,10500,1,190,1000
176,10560,1,193.333,1000
177,10620,1,196.667,1000
178,10680,1,200,1000
179,10740,1,203.333,1000
180,10800,1,206.667,1000
181,10860,1,210,1000
182,10920,1,213.333,1000
183,10980,1,216.667,1000
184,11040,1,220,1000
185,11100,1,223.333,1000
186,11160,1,226.667,1000
187,11220,1,230,1000
188,11280,1,233.333,1000
189,11340,1,236.667,1000
190,11400,1,240,1000
191,11460,1,243.333,1000
192,11520,1,246.667,1000
193,11580,1,250,1000
194,11640,1,253.333,1000
195,11700,1,256.667,1000
196,11760,1,260,1000
197,11820,1,263.333,1000
198,11880,1,266.667,1000
199,11940,1,270,1000
200,12000,1,273.333,1000
201,12060,1,276.667,1000
202,12120,1,280,1000
203,12180,1,283.333,1000
204,12240,1,286.667,1000
205,12300,1,290,1000
206,12360,1,293.333,1000
207,12420,1,296.667,1000
208,12480,1,300,1000
209,12540,1,303.333,1000
210,12600,1,306.667,1000
