job_index,wafer_index,row,col,t_end_s,dose_arb
0,0,1,11,2820,1.8576e+17
0,0,1,12,2820,1.8576e+17
0,0,1,13,2820,1.8576e+17
0,0,1,14,2820,1.8576e+17
0,0,1,15,2820,1.8576e+17
0,0,1,16,2820,1.8576e+17
0,0,1,17,2820,1.8576e+17
0,0,1,18,2820,1.8576e+17
0,0,1,19,2820,1.8576e+17
0,0,1,20,2820,1.8576e+17
0,0,2,9,2820,1.8576e+17
0,0,2,10,2820,1.8576e+17
0,0,2,11,2820,1.8576e+17
0,0,2,12,2820,1.8576e+17
0,0,2,13,2820,1.8576e+17
0,0,2,14,2820,1.8576e+17
0,0,2,15,2820,1.8576e+17
0,0,2,16,2820,1.8576e+17
0,0,2,17,2820,1.8576e+17
0,0,2,18,2820,1.8576e+17
0,0,2,19,2820,1.8576e+17
0,0,2,20,2820,1.8576e+17
0,0,2,21,2820,1.8576e+17
0,0,2,22,2820,1.8576e+17
0,0,3,7,2820,1.8576e+17
0,0,3,8,2820,1.8576e+17
0,0,3,9,2820,1.8576e+17
0,0,3,10,2820,1.8576e+17
0,0,3,11,2820,1.8576e+17
0,0,3,12,2820,1.8576e+17
0,0,3,13,2820,1.8576e+17
0,0,3,14,2820,1.8576e+17
0,0,3,15,2820,1.8576e+17
0,0,3,16,2820,1.8576e+17
0,0,3,17,2820,1.8576e+17
0,0,3,18,2820,1.8576e+17
0,0,3,19,2820,1.8576e+17
0,0,3,20,2820,1.8576e+17
0,0,3,21,2820,1.8576e+17
0,0,3,22,2820,1.8576e+17
0,0,3,23,2820,1.8576e+17
0,0,3,24,2820,1.8576e+17
0,0,4,6,2820,1.8576e+17
0,0,4,7,2820,1.8576e+17
0,0,4,8,2820,1.8576e+17
0,0,4,9,2820,1.8576e+17
0,0,4,10,2820,1.8576e+17
0,0,4,11,2820,1.8576e+17
0,0,4,12,2820,1.8576e+17
0,0,4,13,2820,1.8576e+17
0,0,4,14,2820,1.8576e+17
0,0,4,15,2820,1.8576e+17
0,0,4,16,2820,1.8576e+17
0,0,4,17,2820,1.8576e+17
0,0,4,18,2820,1.8576e+17
0,0,4,19,2820,1.8576e+17
0,0,4,20,2820,1.8576e+17
0,0,4,21,2820,1.8576e+17
0,0,4,22,2820,1.8576e+17
0,0,4,23,2820,1.8576e+17
0,0,4,24,2820,1.8576e+17
0,0,4,25,2820,1.8576e+17
0,0,5,5,2820,1.8576e+17
0,0,5,6,2820,1.8576e+17
0,0,5,7,2820,1.8576e+17
0,0,5,8,2820,1.8576e+17
0,0,5,9,2820,1.8576e+17
0,0,5,10,2820,1.8576e+17
0,0,5,11,2820,1.8576e+17
0,0,5,12,2820,1.8576e+17
0,0,5,13,2820,1.8576e+17
0,0,5,14,2820,1.8576e+17
0,0,5,15,2820,1.8576e+17
0,0,5,16,2820,1.8576e+17
0,0,5,17,2820,1.8576e+17
0,0,5,18,2820,1.8576e+17
0,0,5,19,2820,1.8576e+17
0,0,5,20,2820,1.8576e+17
0,0,5,21,2820,1.8576e+17
0,0,5,22,2820,1.8576e+17
0,0,5,23,2820,1.8576e+17
0,0,5,24,2820,1.8576e+17
0,0,5,25,2820,1.8576e+17
0,0,5,26,2820,1.8576e+17
0,0,6,4,2820,1.8576e+17
0,0,6,5,2820,1.8576e+17
0,0,6,6,2820,1.8576e+17
0,0,6,7,2820,1.8576e+17
0,0,6,8,2820,1.8576e+17
0,0,6,9,2820,1.8576e+17
0,0,6,10,2820,1.8576e+17
0,0,6,11,2820,1.8576e+17
0,0,6,12,2820,1.8576e+17
0,0,6,13,2820,1.8576e+17
0,0,6,14,2820,1.8576e+17
0,0,6,15,2820,1.8576e+17
0,0,6,16,2820,1.8576e+17
0,0,6,17,2820,1.8576e+17
0,0,6,18,2820,1.8576e+17
0,0,6,19,2820,1.8576e+17
0,0,6,20,2820,1.8576e+17
0,0,6,21,2820,1.8576e+17
0,0,6,22,2820,1.8576e+17
0,0,6,23,2820,1.8576e+17
0,0,6,24,2820,1.8576e+17
0,0,6,25,2820,1.8576e+17
0,0,6,26,2820,1.8576e+17
0,0,6,27,2820,1.8576e+17
0,0,7,3,2820,1.8576e+17
0,0,7,4,2820,1.8576e+17
0,0,7,5,2820,1.8576e+17
0,0,7,6,2820,1.8576e+17
0,0,7,7,2820,1.8576e+17
0,0,7,8,2820,1.8576e+17
0,0,7,9,2820,1.8576e+17
0,0,7,10,2820,1.8576e+17
0,0,7,11,2820,1.8576e+17
0,0,7,12,2820,1.8576e+17
0,0,7,13,2820,1.8576e+17
0,0,7,14,2820,1.8576e+17
0,0,7,15,2820,1.8576e+17
0,0,7,16,2820,1.8576e+17
0,0,7,17,2820,1.8576e+17
