tick,time_s,requested_w,received_w
1,60,0,0
2,120,0,0
3,180,0,0
4,240,0,0
5,300,1464,1464
6,360,1464,1464
7,420,1464,1464
8,480,1464,1464
9,540,1464,1464
10,600,1464,1464
11,660,1464,1464
12,720,1464,1464
13,780,1464,1464
14,840,1464,1464
15,900,1464,1464
16,960,1464,1464
17,1020,1464,1464
18,1080,1464,1464
19,1140,1464,1464
20,1200,1464,1464
21,1260,1464,1464
22,1320,1464,1464
23,1380,1464,1464
24,1440,1464,1464
25,1500,1464,1464
26,1560,1464,1464
27,1620,1464,1464
28,1680,1464,1464
29,1740,1464,1464
30,1800,1464,1464
31,1860,1464,1464
32,1920,1464,1464
33,1980,1464,1464
34,2040,1464,1464
35,2100,1464,1464
36,2160,1464,1464
37,2220,1464,1464
38,2280,1464,1464
39,2340,1464,1464
40,2400,1464,1464
41,2460,1464,1464
42,2520,1464,1464
43,2580,1464,80.0401
44,2640,1464,0
45,2700,1464,0
46,2760,1464,0
47,2820,1464,0
48,2880,0,0
49,2940,0,0
50,3000,0,0
51,3060,0,0
52,3120,0,0
53,3180,0,0
54,3240,0,0
55,3300,0,0
56,3360,0,0
57,3420,0,0
58,3480,0,0
59,3540,0,0
60,3600,0,0
61,3660,0,0
62,3720,0,0
63,3780,0,0
64,3840,0,0
65,3900,0,0
66,3960,0,0
67,4020,0,0
68,4080,0,0
69,4140,0,0
70,4200,0,0
71,4260,0,0
72,4320,0,0
73,4380,0,0
74,4440,0,0
75,4500,0,0
76,4560,0,0
77,4620,0,0
78,4680,0,0
79,4740,0,0
80,4800,0,0
81,4860,0,0
82,4920,0,0
83,4980,0,0
84,5040,0,0
85,5100,0,0
86,5160,0,0
87,5220,0,0
88,5280,0,0
89,5340,0,0
90,5400,0,0
91,5460,0,0
92,5520,0,0
93,5580,0,0
94,5640,0,0
95,5700,0,0
96,5760,0,0
97,5820,0,0
98,5880,0,0
99,5940,0,0
100,6000,0,0
101,6060,0,0
102,6120,0,0
103,6180,0,0
104,6240,0,0
105,6300,1800,1800
106,6360,1800,1800
107,6420,1800,1800
108,6480,1800,1800
109,6540,1800,1800
110,6600,1800,1800
111,6660,1800,1800
112,6720,1800,1800
113,6780,1800,1800
114,6840,1800,1800
115,6900,1800,1800
116,6960,1800,1624.67
117,7020,1800,878.454
118,7080,1800,0
119,7140,1800,0
120,7200,1800,0
121,7260,1800,0
122,7320,1800,0
123,7380,1800,0
124,7440,1800,0
125,7500,0,0
126,7560,0,0
127,7620,0,0
128,7680,0,0
129,7740,0,0
130,7800,0,0
131,7860,0,0
132,7920,0,0
133,7980,0,0
134,8040,0,0
135,8100,0,0
136,8160,0,0
137,8220,0,0
138,8280,0,0
139,8340,0,0
140,8400,0,0
141,8460,0,0
142,8520,0,0
143,8580,0,0
144,8640,0,0
145,8700,0,0
146,8760,0,0
147,8820,0,0
148,8880,0,0
149,8940,0,0
150,9000,0,0
151,9060,0,0
152,9120,0,0
153,9180,0,0
154,9240,0,0
155,9300,0,0
156,9360,0,0
157,9420,0,0
158,9480,0,0
159,9540,0,0
160,9600,0,0
161,9660,0,0
162,9720,0,0
163,9780,0,0
164,9840,0,0
165,9900,0,0
166,9960,0,0
167,10020,0,0
168,10080,0,0
169,10140,0,0
170,10200,0,0
171,10260,0,0
172,10320,0,0
173,10380,0,0
174,10440,0,0
175,10500,0,0
176,10560,0,0
177,10620,0,0
178,10680,0,0
179,10740,0,0
180,10800,0,0
181,10860,0,0
182,10920,0,0
183,10980,0,0
184,11040,0,0
185,11100,0,0
186,11160,0,0
187,11220,0,0
188,11280,0,0
189,11340,0,0
190,11400,0,0
191,11460,0,0
192,11520,0,0
193,11580,0,0
194,11640,0,0
195,11700,1320,1320
196,11760,1320,1320
197,11820,1320,1320
198,11880,1320,1320
199,11940,1320,1320
200,12000,1320,1320
201,12060,1320,1320
202,12120,1320,1320
203,12180,1320,1320
204,12240,1320,1320
205,12300,1320,1320
206,12360,1320,1320
207,12420,1320,1320
208,12480,1320,1320
209,12540,1320,1320
210,12600,1320,1320
211,12660,1320,1320
212,12720,1320,1320
213,12780,1320,1320
214,12840,1320,1320
215,12900,1320,1135.29
216,12960,1320,0
217,13020,1320,0
218,13080,1320,0
219,13140,1320,0
220,13200,1320,0
221,13260,0,0
222,13320,0,0
223,13380,0,0
224,13440,0,0
225,13500,0,0
226,13560,0,0
227,13620,0,0
228,13680,0,0
229,13740,0,0
230,13800,0,0
231,13860,0,0
232,13920,0,0
233,13980,0,0
234,14040,0,0
235,14100,0,0
236,14160,0,0
237,14220,0,0
238,14280,0,0
239,14340,0,0
240,14400,0,0
241,14460,0,0
242,14520,0,0
243,14580,0,0
244,14640,0,0
245,14700,0,0
246,14760,0,0
247,14820,0,0
248,14880,0,0
249,14940,0,0
250,15000,0,0
251,15060,0,0
252,15120,0,0
253,15180,0,0
254,15240,0,0
255,15300,0,0
256,15360,0,0
257,15420,0,0
258,15480,0,0
259,15540,0,0
260,15600,0,0
261,15660,0,0
262,15720,0,0
263,15780,0,0
264,15840,0,0
265,15900,0,0
266,15960,0,0
267,16020,0,0
268,16080,0,0
269,16140,0,0
270,16200,0,0
271,16260,0,0
272,16320,0,0
273,16380,0,0
274,16440,0,0
275,16500,0,0
276,16560,0,0
277,16620,0,0
278,16680,0,0
279,16740,0,0
280,16800,0,0
281,16860,0,0
282,16920,0,0
283,16980,0,0
284,17040,0,0
285,17100,1704,1704
286,17160,1704,1704
287,17220,1704,1704
288,17280,1704,1704
289,17340,1704,1704
290,17400,1704,1704
291,17460,1704,1704
292,17520,1704,1704
293,17580,1704,1704
294,17640,1704,1704
295,17700,1704,1704
296,17760,1704,1704
297,17820,1704,1704
298,17880,1704,1704
299,17940,1704,1704
300,18000,1704,1704
301,18060,1704,1704
302,18120,1704,1704
303,18180,1704,1079.41
304,18240,1704,935.136
305,18300,1704,878.454
306,18360,1704,0
307,18420,1704,0
308,18480,0,0
309,18540,0,0
310,18600,0,0
311,18660,0,0
312,18720,0,0
313,18780,0,0
314,18840,0,0
315,18900,0,0
316,18960,0,0
317,19020,0,0
318,19080,0,0
319,19140,0,0
320,19200,0,0
321,19260,0,0
322,19320,0,0
323,19380,0,0
324,19440,0,0
325,19500,0,0
326,19560,0,0
327,19620,0,0
328,19680,0,0
329,19740,0,0
330,19800,0,0
331,19860,0,0
332,19920,0,0
333,19980,0,0
334,20040,0,0
