tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,10000,0,1
5,0,1,0,10000,1,0
6,0,1,0,137500,0,1
7,0,1,0,137500,1,0
8,0,1,0,160000,0,1
9,0,1,0,160000,1,0
10,0,1,0,287500,0,1
11,0,1,0,287500,1,0
12,0,1,0,310000,0,1
13,0,1,0,310000,1,0
14,0,1,0,337500,0,1
15,0,1,0,337500,1,0
16,0,1,0,425000,0,1
17,0,1,0,425000,1,0
18,0,1,0,485000,0,1
19,0,1,0,485000,1,0
20,0,1,0,580000,0,1
21,0,1,0,580000,1,0
22,0,1,0,635000,0,1
23,0,1,0,635000,1,0
24,0,1,0,762500,0,1
25,0,1,0,762500,1,0
26,0,1,0,785000,0,1
27,0,1,0,785000,1,0
28,0,1,0,870000,0,1
29,0,1,0,870000,1,0
30,0,1,0,935000,0,1
31,0,1,0,935000,1,0
32,0,1,0,1.0525e+06,0,1
33,0,1,0,1.0525e+06,1,0
34,0,1,0,1.135e+06,0,1
35,0,1,0,1.135e+06,1,0
