tick,time_s,status,temperature_K,heatInput_w
1,60,1,300,0
2,120,1,300,0
3,180,1,321.6,180
4,240,1,336.72,180
5,300,1,347.304,180
6,360,1,354.713,180
7,420,1,359.899,180
8,480,1,363.529,180
9,540,1,366.07,180
10,600,1,367.849,180
11,660,1,369.095,180
12,720,1,369.966,180
13,780,1,370.576,180
14,840,1,371.003,180
15,900,1,371.302,180
16,960,1,371.512,180
17,1020,1,371.658,180
18,1080,1,370.273,167.601
19,1140,1,364.904,130.941
20,1200,1,360.388,124.628
21,1260,1,356.453,118.182
22,1320,1,352.913,111.633
23,1380,1,337.039,0
24,1440,1,325.928,0
25,1500,1,318.149,0
26,1560,1,327.104,120
27,1620,1,326.575,63.3511
28,1680,1,318.603,0
29,1740,1,313.022,0
30,1800,1,309.115,0
31,1860,1,306.381,0
32,1920,1,304.467,0
33,1980,1,303.127,0
34,2040,1,302.189,0
35,2100,1,301.532,0
36,2160,1,301.072,0
37,2220,1,300.751,0
38,2280,1,300.525,0
39,2340,1,300.368,0
40,2400,1,300.257,0
41,2460,1,300.18,0
42,2520,1,300.126,0
43,2580,1,300.088,0
44,2640,1,300.062,0
45,2700,1,300.043,0
46,2760,1,300.03,0
47,2820,1,300.021,0
48,2880,1,300.015,0
49,2940,1,300.01,0
50,3000,1,300.007,0
51,3060,1,300.005,0
52,3120,1,300.004,0
53,3180,1,300.002,0
54,3240,1,300.002,0
55,3300,1,300.001,0
56,3360,1,300.001,0
57,3420,1,300.001,0
58,3480,1,300,0
59,3540,1,300,0
60,3600,1,300,0
61,3660,1,300,0
62,3720,1,300,0
63,3780,1,300,0
64,3840,1,300,0
65,3900,1,300,0
66,3960,1,300,0
67,4020,1,300,0
68,4080,1,300,0
69,4140,1,300,0
70,4200,1,300,0
71,4260,1,300,0
72,4320,1,300,0
73,4380,1,300,0
74,4440,1,300,0
75,4500,1,300,0
