tick,time_s,status,available_added,total_draw_request,total_granted,remaining_power
0,0,1,0,0,0,0
1,60,1,125.343,0,0,125.343
2,120,1,130.663,155,125.343,130.663
3,180,1,135.935,155,130.663,135.935
4,240,1,141.136,155,135.935,141.136
5,300,1,146.242,155,141.136,146.242
6,360,1,151.231,155,146.242,151.231
7,420,1,156.081,155,151.231,156.081
8,480,1,160.769,155,155,161.85
9,540,1,165.276,155,155,172.126
10,600,1,169.58,155,155,186.706
11,660,1,173.663,155,155,205.369
12,720,1,177.506,155,155,227.875
13,780,1,181.092,155,155,253.967
14,840,1,184.406,155,155,283.372
15,900,1,187.431,155,155,315.804
16,960,1,190.156,155,155,350.96
17,1020,1,192.567,155,155,388.527
18,1080,1,194.654,155,155,428.181
19,1140,1,196.408,155,155,469.59
20,1200,1,197.821,155,155,512.41
21,1260,1,198.886,155,155,556.296
22,1320,1,199.598,155,155,600.894
23,1380,1,199.955,155,155,645.85
24,1440,1,199.955,155,155,690.805
25,1500,1,199.598,155,155,735.403
26,1560,1,198.886,155,155,779.289
27,1620,1,197.821,155,155,822.109
28,1680,1,196.408,155,155,863.518
29,1740,1,194.654,155,155,903.172
30,1800,1,192.567,155,155,940.739
31,1860,1,190.156,155,155,975.895
32,1920,1,187.431,155,155,1008.33
33,1980,1,184.406,155,155,1037.73
34,2040,1,181.092,155,155,1063.82
35,2100,1,177.506,155,155,1086.33
36,2160,1,173.663,155,155,1104.99
37,2220,1,169.58,155,155,1119.57
38,2280,1,165.276,155,155,1129.85
39,2340,1,160.769,155,155,1135.62
40,2400,1,156.081,155,155,1136.7
41,2460,1,151.231,155,155,1132.93
42,2520,1,146.242,155,155,1124.17
43,2580,1,141.136,155,155,1110.31
44,2640,1,135.935,155,155,1091.24
45,2700,1,130.663,155,155,1066.91
46,2760,1,125.343,155,155,1037.25
47,2820,1,120,155,155,1002.25
48,2880,1,120,155,155,967.249
49,2940,1,120,155,155,932.249
50,3000,1,120,155,155,897.249
-1,-1,0,0,0,0,0
