tick,time_s,status,bus,battery,solar,job_failed
0,0,1,0,500,0,0
1,60,1,194.777,505,199.777,0
2,120,1,203.884,510,199.108,0
3,180,1,211.881,515,197.996,0
4,240,1,218.328,520,196.447,0
5,300,1,222.794,525,194.467,0
6,360,1,224.859,530,192.065,0
7,420,1,224.111,535,189.252,0
8,480,1,220.151,540,186.04,0
9,540,1,212.596,545,182.444,0
10,600,1,201.076,550,178.48,0
11,660,1,185.241,555,174.165,0
12,720,1,164.76,560,169.519,0
13,780,1,139.323,565,164.563,0
14,840,1,108.641,570,159.318,0
15,900,1,72.449,575,153.808,0
16,960,1,30.5072,580,148.058,0
17,1020,1,0,585,142.093,0
18,1080,1,0,590,135.941,0
19,1140,1,0,595,129.628,0
20,1200,1,0,600,123.182,0
21,1260,1,0,605,116.633,0
22,1320,1,105.01,610,110.01,1
23,1380,1,203.351,615,103.341,0
24,1440,1,198.351,620,0,0
25,1500,1,68.3511,625,0,0
26,1560,1,0,630,0,0
27,1620,1,0,630,0,0
28,1680,1,0,630,0,0
29,1740,1,0,630,0,0
30,1800,1,0,630,0,0
31,1860,1,0,630,0,1
32,1920,1,0,630,0,0
33,1980,1,0,630,0,0
34,2040,1,0,630,0,0
35,2100,1,0,630,0,0
36,2160,1,0,630,0,0
37,2220,1,0,630,0,0
38,2280,1,0,630,0,0
39,2340,1,0,630,0,0
40,2400,1,0,630,0,0
41,2460,1,0,630,0,0
42,2520,1,0,630,0,0
43,2580,1,0,630,0,0
44,2640,1,0,630,0,0
45,2700,1,0,630,0,0
46,2760,1,0,630,0,0
47,2820,1,0,630,0,0
48,2880,1,0,630,0,0
49,2940,1,0,630,0,0
50,3000,1,0,630,0,0
51,3060,1,0,630,0,0
52,3120,1,0,630,0,0
53,3180,1,0,630,0,0
54,3240,1,0,630,0,0
55,3300,1,0,630,0,0
56,3360,1,0,630,0,0
57,3420,1,0,630,0,0
58,3480,1,0,630,0,0
59,3540,1,0,630,0,0
60,3600,1,0,630,0,0
61,3660,1,0,630,0,0
62,3720,1,0,630,0,0
63,3780,1,0,630,0,0
64,3840,1,0,630,0,0
65,3900,1,0,630,0,0
66,3960,1,0,630,0,0
67,4020,1,0,630,0,0
68,4080,1,0,630,0,0
69,4140,1,0,630,0,0
70,4200,1,0,630,0,0
71,4260,1,98.3415,635,103.341,0
72,4320,1,203.351,640,110.01,0
73,4380,1,314.984,645,116.633,0
74,4440,1,433.166,650,123.182,0
75,4500,1,557.794,655,129.628,0
