tick,time_s,status,solar_scale,solar_input,output,efficiency
0,0,1,0,0,0,0.2
1,60,1,0.998883,998.883,199.777,0.2
2,120,1,0.995539,995.539,199.108,0.2
3,180,1,0.989981,989.981,197.996,0.2
4,240,1,0.982235,982.235,196.447,0.2
5,300,1,0.972335,972.335,194.467,0.2
6,360,1,0.960325,960.325,192.065,0.2
7,420,1,0.946259,946.259,189.252,0.2
8,480,1,0.930201,930.201,186.04,0.2
9,540,1,0.912221,912.221,182.444,0.2
10,600,1,0.8924,892.4,178.48,0.2
11,660,1,0.870826,870.826,174.165,0.2
12,720,1,0.847596,847.596,169.519,0.2
13,780,1,0.822814,822.814,164.563,0.2
14,840,1,0.79659,796.59,159.318,0.2
15,900,1,0.769041,769.041,153.808,0.2
16,960,1,0.740291,740.291,148.058,0.2
17,1020,1,0.710467,710.467,142.093,0.2
18,1080,1,0.679704,679.704,135.941,0.2
19,1140,1,0.648138,648.138,129.628,0.2
20,1200,1,0.61591,615.91,123.182,0.2
21,1260,1,0.583165,583.165,116.633,0.2
22,1320,1,0.550048,550.048,110.01,0.2
23,1380,1,0.516707,516.707,103.341,0.2
24,1440,1,0,0,0,0.2
25,1500,1,0,0,0,0.2
26,1560,1,0,0,0,0.2
27,1620,1,0,0,0,0.2
28,1680,1,0,0,0,0.2
29,1740,1,0,0,0,0.2
30,1800,1,0,0,0,0.2
31,1860,1,0,0,0,0.2
32,1920,1,0,0,0,0.2
33,1980,1,0,0,0,0.2
34,2040,1,0,0,0,0.2
35,2100,1,0,0,0,0.2
36,2160,1,0,0,0,0.2
37,2220,1,0,0,0,0.2
38,2280,1,0,0,0,0.2
39,2340,1,0,0,0,0.2
40,2400,1,0,0,0,0.2
41,2460,1,0,0,0,0.2
42,2520,1,0,0,0,0.2
43,2580,1,0,0,0,0.2
44,2640,1,0,0,0,0.2
45,2700,1,0,0,0,0.2
46,2760,1,0,0,0,0.2
47,2820,1,0,0,0,0.2
48,2880,1,0,0,0,0.2
49,2940,1,0,0,0,0.2
50,3000,1,0,0,0,0.2
51,3060,1,0,0,0,0.2
52,3120,1,0,0,0,0.2
53,3180,1,0,0,0,0.2
54,3240,1,0,0,0,0.2
55,3300,1,0,0,0,0.2
56,3360,1,0,0,0,0.2
57,3420,1,0,0,0,0.2
58,3480,1,0,0,0,0.2
59,3540,1,0,0,0,0.2
60,3600,1,0,0,0,0.2
61,3660,1,0,0,0,0.2
62,3720,1,0,0,0,0.2
63,3780,1,0,0,0,0.2
64,3840,1,0,0,0,0.2
65,3900,1,0,0,0,0.2
66,3960,1,0,0,0,0.2
67,4020,1,0,0,0,0.2
68,4080,1,0,0,0,0.2
69,4140,1,0,0,0,0.2
70,4200,1,0,0,0,0.2
71,4260,1,0.516707,516.707,103.341,0.2
72,4320,1,0.550048,550.048,110.01,0.2
73,4380,1,0.583165,583.165,116.633,0.2
74,4440,1,0.61591,615.91,123.182,0.2
75,4500,1,0.648138,648.138,129.628,0.2
