tick,time_s,status,charge_Wh,capacity_Wh
0,0,1,500,1000
1,60,1,500,1000
2,120,1,503.333,1000
3,180,1,501.459,1000
4,240,1,499.426,1000
5,300,1,497.175,1000
6,360,1,494.642,1000
7,420,1,491.77,1000
8,480,1,488.499,1000
9,540,1,484.773,1000
10,600,1,480.537,1000
11,660,1,475.74,1000
12,720,1,470.331,1000
13,780,1,464.265,1000
14,840,1,457.496,1000
15,900,1,449.984,1000
16,960,1,441.691,1000
17,1020,1,432.584,1000
18,1080,1,422.632,1000
19,1140,1,411.808,1000
20,1200,1,400.09,1000
21,1260,1,387.458,1000
22,1320,1,373.899,1000
23,1380,1,359.401,1000
24,1440,1,362.734,1000
25,1500,1,362.734,1000
