tick,time_s,status,act_temp_K,target_temp_K,heatInput_w,underflux_streak,temp_miss_streak
1,60,1,300,300,0,0,0
2,120,1,408,1300,1800,0,0
3,180,1,506.28,1300,1800,0,0
4,240,1,595.715,1300,1800,0,0
5,300,1,677.1,1300,1800,0,0
6,360,1,751.161,1300,1800,0,0
7,420,1,818.557,1300,1800,0,0
8,480,1,879.887,1300,1800,0,0
9,540,1,935.697,1300,1800,0,0
10,600,1,986.484,1300,1800,0,0
11,660,1,1032.7,1300,1800,0,0
12,720,1,1074.76,1300,1800,0,0
13,780,1,1113.03,1300,1800,0,0
14,840,1,1147.86,1300,1800,0,0
15,900,1,1179.55,1300,1800,0,0
16,960,1,1208.39,1300,1800,0,0
17,1020,1,1234.64,1300,1800,0,0
18,1080,1,1258.52,1300,1800,0,1
19,1140,1,1280.25,1300,1800,0,0
20,1200,1,1300.03,1300,1800,0,0
21,1260,1,1318.03,1300,1800,0,0
22,1320,1,1334.4,1300,1800,0,0
23,1380,1,1241.31,300,0,0,0
24,1440,1,1156.59,300,0,0,0
25,1500,1,1079.5,300,0,0,0
