tick,time_s,status,available_added,requested,granted,remaining
0,0,1,0,0,0,0
1,60,1,1698.2,0,0,1698.2
2,120,1,1692.52,1800,1800,0
3,180,1,1683.07,1805,1805,0
4,240,1,1669.9,1805,1805,0
5,300,1,1653.07,1805,1805,0
6,360,1,1632.65,1805,1805,0
7,420,1,1608.74,1805,1805,0
8,480,1,1581.43,1805,1805,0
9,540,1,1550.87,1805,1805,0
10,600,1,1517.17,1805,1805,0
11,660,1,1480.49,1805,1805,0
12,720,1,1441,1805,1805,0
13,780,1,1398.87,1805,1805,0
14,840,1,1354.28,1805,1805,0
15,900,1,1307.45,1805,1805,0
16,960,1,1258.57,1805,1805,0
17,1020,1,1207.87,1805,1805,0
18,1080,1,1155.56,1805,1805,0
19,1140,1,1101.9,1805,1805,0
20,1200,1,1047.11,1805,1805,0
21,1260,1,991.438,1805,1805,0
22,1320,1,935.136,1805,1805,0
23,1380,1,878.454,5,5,878.454
24,1440,1,0,0,0,0
25,1500,1,0,0,0,0
