tick,time_s,status,bus,battery,solar,job_failed
0,0,1,0,500,0,0
1,60,1,0,503.333,1698.2,0
2,120,1,0,501.459,1692.52,0
3,180,1,0,499.426,1683.07,0
4,240,1,0,497.175,1669.9,0
5,300,1,0,494.642,1653.07,0
6,360,1,0,491.77,1632.65,0
7,420,1,0,488.499,1608.74,0
8,480,1,0,484.773,1581.43,0
9,540,1,0,480.537,1550.87,0
10,600,1,0,475.74,1517.17,0
11,660,1,0,470.331,1480.49,0
12,720,1,0,464.265,1441,0
13,780,1,0,457.496,1398.87,0
14,840,1,0,449.984,1354.28,0
15,900,1,0,441.691,1307.45,0
16,960,1,0,432.584,1258.57,0
17,1020,1,0,422.632,1207.87,0
18,1080,1,0,411.808,1155.56,0
19,1140,1,0,400.09,1101.9,0
20,1200,1,0,387.458,1047.11,0
21,1260,1,0,373.899,991.438,0
22,1320,1,0,359.401,935.136,0
23,1380,1,0,362.734,878.454,0
24,1440,1,0,362.734,0,0
25,1500,1,0,362.734,0,0
