tick,time_s,status,temperature_K,heatInput_w
1,60,1,300,0
2,120,1,300,0
3,180,1,321.6,180
4,240,1,336.72,180
5,300,1,344.073,153.077
6,360,1,347.8,141.242
7,420,1,351.008,146.231
8,480,1,353.835,151.081
9,540,1,356.377,155.769
10,600,1,339.464,0
11,660,1,327.625,0
12,720,1,319.337,0
13,780,1,313.536,0
14,840,1,309.475,0
15,900,1,306.633,0
16,960,1,304.643,0
17,1020,1,303.25,0
18,1080,1,302.275,0
19,1140,1,301.593,0
20,1200,1,301.115,0
21,1260,1,300.78,0
22,1320,1,300.546,0
23,1380,1,300.382,0
24,1440,1,300.268,0
25,1500,1,300.187,0
26,1560,1,318.131,150
27,1620,1,330.692,150
28,1680,1,339.484,150
