tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr,p_gap_Torr
# Fix print output for fix out
1,0.025,0,0,0,0
2,0.05,5.01206202711314e-09,2.82142671693753e-10,3.91359059105203e-11,4.45751363044021e-09
3,0.075,4.97814819236134e-09,2.94182678135188e-10,4.10177604235035e-11,4.45765498100975e-09
tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr,p_gap_Torr
# Fix print output for fix out
1,0.025,0,0,0,0
2,0.05,2.29482556521802e-08,3.43939774136709e-10,1.85023530830139e-10,1.66495070928576e-08
3,0.075,2.305536100432e-08,3.45023891937197e-10,1.85754008721694e-10,1.67612870858664e-08
4,0.1,2.29962407691641e-08,3.45584722231477e-10,1.9002154746703e-10,1.68366692770717e-08
